Keyword,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6
Headset,"JBL Tune 215BT, 16 Hrs Playtime with Quick Charge, in Ear Bluetooth Wireless Earphones with Mic, 12.5mm Premium Earbuds with Pure Bass, BT 5.0, Dual Pairing, Type C & Voice Assistant Support (Black)","OneOdio Over Ear Headphones Studio Wired Bass Headsets with 50mm Driver, Foldable Lightweight Headphones with Shareport and Mic for DJ Monitoring Mixing Guitar PC TV with microphone (Pro-30)","Boult Audio Z25 True Wireless in Ear Earbuds with 32H Playtime, 45ms Low Latency, Type-C Fast Charging (10=150Mins), Made in India, Zen ENC Mic, 13mm Bass Drivers, Bluetooth 5.3 Ear Buds (Blue Moss)","Boult Audio ZCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 40H Playtime, Type-C Fast Charging (10Mins=15Hrs Playtime), Made in India, Biggest 14.2mm Bass Drivers Neckband Ear Phones (Blue)",boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Mic Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation (Red)"
Headset wire,"Jabra Evolve2 75 PC Wireless On Ear Headset with 8-Microphone Technology - Dual Foam Stereo Headphones with Adjustable Advanced Active Noise Cancelling, USB-A Bluetooth Adapter - Black","JELLICO Intelligent Wire Control X12- Headset/Earphone with 3.5 mm Jack Sound, Noise Reduction Feature & Universal Compatible Interface - White","Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (White)",ELECTMART YS Original Handsfree Wired Headset Compatible with Samsung Galaxy A31 and All Samsung Galaxy 3.5mm Jack Smartphones,"Kids Headphones for School with Mic, Riwbox CS6 Folding Stereo Headphones Over Ear Wired Headset Sharing Function with Mic and Volume Control Compatible for iPad/iPhone/PC/Kindle/Tablet (Pink&Purple)","pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)"
Headset with mic,"iClever Headphones for Girls - Kids Headphones with Mic, Foldable Headset for Kids, Adjustable Headband, 85/94dB Volume Control, Wired Girls Headphones for School/Travel, Rose Purple","Jabra Evolve 20SE UC Stereo, Professional Wired On Ear Headset with Mic Great Sound & Easy Call Management","Boult Audio ZCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 40H Playtime, Type-C Fast Charging (10Mins=15Hrs Playtime), Made in India, Biggest 14.2mm Bass Drivers Neckband Ear Phones (Blue)","Ambrane Wired Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Pink)","JBL Tune 215BT, 16 Hrs Playtime with Quick Charge, in Ear Bluetooth Wireless Earphones with Mic, 12.5mm Premium Earbuds with Pure Bass, BT 5.0, Dual Pairing, Type C & Voice Assistant Support (Black)","Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (Blue)"
Headset wired,ELECTMART YS Original Handsfree Wired Headset Compatible with Samsung Galaxy A31 and All Samsung Galaxy 3.5mm Jack Smartphones,"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)",boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),"GOVO GOBASS 455 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (Blue)","Ambrane Wired Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Black)","GOVO GOBASS 455 in Ear Wired Earphones with HD Mic for Calls, 10mm Dynamic Driver, Noise Cancellation (Platinum Black)"
Headset wireless,"SENS CNATRA 1 Bluetooth Headset with Intelligent Insta Connect (IIC), ENC, Voice Assistant  and up to 22hrs Playback  (Midnight Green, True Wireless)","SENS Hendriks 2 Bluetooth Headset with Active Noise Cancellation(ANC),  Environmental Noise Cancellation(ENC), MEMS MIC, Auto Pairing & up to 30 hrs Playback  (Pearl White, True Wireless)","SENS Alvis 1 Bluetooth Headset with Feather-Light, Dual Pairing, Magnetic Earbuds and up to 13hrs Playback (Scarlet Red)","SENS Hendrik 1 Bluetooth Headset with Graphene Composite Drivers, MEMS MIC, Auto Pairing, Zinc Alloy Metal Case & up to 30 hrs Playback  (Gun Metal Grey, True Wireless)","SENS MJ 1 Bluetooth Headset with ENC, SVVC Mode (Low Latency), AFAP(As Fast As Possible) Within 45 mins to Full Charge & up to 24 hrs Playback (Gun Metal Grey)","SENS CNATRA 2 Bluetooth Headset with As Fast As Possible (AFAP) Charge, MEMS MIC, 13mm Super Dynamic Drivers and up to 24 hrs Playback  (Snow White, True Wireless)"
Headset bluetooth,"SENS Hendriks 2 Bluetooth Headset with Active Noise Cancellation(ANC),  Environmental Noise Cancellation(ENC), MEMS MIC, Auto Pairing & up to 30 hrs Playback  (Pearl White, True Wireless)","SENS Hendrik 1 Bluetooth Headset with Graphene Composite Drivers, MEMS MIC, Auto Pairing, Zinc Alloy Metal Case & up to 30 hrs Playback  (Gun Metal Grey, True Wireless)","Boult Audio Z20 True Wireless in Ear Earbuds with Zen ENC Mic, 40H Playtime, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, Environmental Noise Cancellation, IPX5 Ear Buds TWS (Green)","truke BTG Beta True Wireless in Ear Earbuds with 13mm Big Speaker Drivers, 38H Playtime, Fast Charging, True Gaming Mode, Instant Pairing, AAC Codec, Dual-Mic ENC, Bluetooth 5.3, IPX4 (Black)","Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (White)","Boult Audio ZCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 40H Playtime, Type-C Fast Charging (10Mins=15Hrs Playtime), Made in India, Biggest 14.2mm Bass Drivers Neckband Ear Phones (Blue)"
Headset wired with mic,"iClever Headphones for Girls - Kids Headphones with Mic, Foldable Headset for Kids, Adjustable Headband, 85/94dB Volume Control, Wired Girls Headphones for School/Travel, Rose Purple","YINYOO KZ EDX PRO Earphones Headphones with 1DD, EDX PRO Wired in Ear Earbuds HiFi Deep Bass Sound with 1DD New 10mm Dynamic Driver Over Ear Headset with Detachable Cable (Cyan, Without mic)","Ambrane Wired Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Black)","boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)","truke BTG Beta True Wireless in Ear Earbuds with 13mm Big Speaker Drivers, 38H Playtime, Fast Charging, True Gaming Mode, Instant Pairing, AAC Codec, Dual-Mic ENC, Bluetooth 5.3, IPX4 (Black)","Boult Audio ZCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 40H Playtime, Type-C Fast Charging (10Mins=15Hrs Playtime), Made in India, Biggest 14.2mm Bass Drivers Neckband Ear Phones (Blue)"
Headset wireless with mic,"Boult Audio Probass Anchor Active Noise Cancellation Bluetooth Wireless Over Ear Headphones with Mic with 30Hrs Playtime, Extra Bass with 40 Mm Drivers (Black)","Tribit XFree Go Over Ear Bluetooth Headphones with Mic, Wireless Headset HiFi Sound, Deep Bass,Lightweight,Type-C Lightening Fast Charge, 34H Playtime for Travel/Office/Home, Black&Red","Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (White)",ZEBRONICS Zeb-Duke1 Bluetooth Wireless Over Ear Headphones with Mic (Blue),"truke BTG Beta True Wireless in Ear Earbuds with 13mm Big Speaker Drivers, 38H Playtime, Fast Charging, True Gaming Mode, Instant Pairing, AAC Codec, Dual-Mic ENC, Bluetooth 5.3, IPX4 (Black)","Boult Audio ZCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 40H Playtime, Type-C Fast Charging (10Mins=15Hrs Playtime), Made in India, Biggest 14.2mm Bass Drivers Neckband Ear Phones (Blue)"
Headset for mobile,New Kartik Mobile SHOPEE Stereo Headset (3),New Kartik Mobile SHOPEE Bluetooth Headphone (2),"Boult Audio Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Bluetooth 5.1 Ear Buds TWS (White)","SYSKA PACE HE100H 100 hrs Playtime Bluetooth Neckband, autoENC, Wireless in Ear Earphones with Mic, Earphones with Rapid Pulse Charging, 10 mm Drivers, Deep Bass (Teal Green)","Bose Soundsport Sweatproof Bluetooth Wireless In Ear Earphones With Mic For Running And Sports, Black","Boult Audio Newly Launched Charge with 12H Playtime,20mins=100% Charge Type-C Fast Lightning Charging,Pro+ Calling HD Mic,10mm Rich Bass Drivers,IPX5,Bluetooth Wireless Earphones Neckband Probass-Blue"
Headset for laptop,New Kartik Mobile SHOPEE Stereo Headset (3),Logitech H111 Wired On Ear Headphones With Mic Black,"Ambrane RangerZ 2-in-1 Wireless Headphones with Mic + Speakers, Up to 8 Hrs Playtime, 40mm Drivers with BoostedBass™, Bluetooth V5.1, 180° Rotatable, AUX & SD Card Support, Smart Buttons (Black)",Bluetooth handsfree Headphone PR1.,TECHCLUES X 20 PRO Bluetooth Headset -02,New Kartik Mobile SHOPEE Bluetooth Headphone (3)
